;T;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t
59;390;-1815880.43;-1815880.43;-1815880.43;-1815880.43;-1815880.43;-1815880.43;-1815880.43;-1815880.43;-1815880.43;-1815880.43;-1815880.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;395;-1815883.315;-1815883.315;-1815883.315;-1815883.315;-1815883.315;-1815883.315;-1815883.315;-1815883.315;-1815883.315;-1815883.315;-1815883.315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;400;-1815886.219;-1815886.219;-1815886.219;-1815886.219;-1815886.219;-1815886.219;-1815886.219;-1815886.219;-1815886.219;-1815886.219;-1815886.219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;405;-1815889.142;-1815889.142;-1815889.142;-1815889.142;-1815889.142;-1815889.142;-1815889.142;-1815889.142;-1815889.142;-1815889.142;-1815889.142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;410;-1815892.084;-1815892.084;-1815892.084;-1815892.084;-1815892.084;-1815892.084;-1815892.084;-1815892.084;-1815892.084;-1815892.084;-1815892.084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;415;-1815895.046;-1815895.046;-1815895.046;-1815895.046;-1815895.046;-1815895.046;-1815895.046;-1815895.046;-1815895.046;-1815895.046;-1815895.046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;420;-1815898.026;-1815898.026;-1815898.026;-1815898.026;-1815898.026;-1815898.026;-1815898.026;-1815898.026;-1815898.026;-1815898.026;-1815898.026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;425;-1815901.025;-1815901.025;-1815901.025;-1815901.025;-1815901.025;-1815901.025;-1815901.025;-1815901.025;-1815901.025;-1815901.025;-1815901.025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;430;-1815904.043;-1815904.043;-1815904.043;-1815904.043;-1815904.043;-1815904.043;-1815904.043;-1815904.043;-1815904.043;-1815904.043;-1815904.043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;435;-1815907.08;-1815907.08;-1815907.08;-1815907.08;-1815907.08;-1815907.08;-1815907.08;-1815907.08;-1815907.08;-1815907.08;-1815907.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;440;-1815910.136;-1815910.136;-1815910.136;-1815910.136;-1815910.136;-1815910.136;-1815910.136;-1815910.136;-1815910.136;-1815910.136;-1815910.136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;445;-1815913.21;-1815913.21;-1815913.21;-1815913.21;-1815913.21;-1815913.21;-1815913.21;-1815913.21;-1815913.21;-1815913.21;-1815913.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;450;-1815916.304;-1815916.304;-1815916.304;-1815916.304;-1815916.304;-1815916.304;-1815916.304;-1815916.304;-1815916.304;-1815916.304;-1815916.304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;455;-1815919.416;-1815919.416;-1815919.416;-1815919.416;-1815919.416;-1815919.416;-1815919.416;-1815919.416;-1815919.416;-1815919.416;-1815919.416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
