,T,101_t,104_t,118_t,12_t,1_t,34_t,38_t,52_t,60_t,62_t,96_t
61,400.00,-1815886.219,-1815877.468,-1815899.781,-1815878.106,-1815889.529,-1815881.458,-1815882.187,-1815880.958,-1815902.516,-1815886.230,-1815885.595
62,405.00,-1815889.142,-1815880.350,-1815902.660,-1815881.019,-1815892.347,-1815884.388,-1815885.079,-1815883.876,-1815905.437,-1815889.156,-1815888.515
63,410.00,-1815892.084,-1815883.250,-1815905.557,-1815883.952,-1815895.184,-1815887.337,-1815887.990,-1815886.812,-1815908.378,-1815892.102,-1815891.453
64,415.00,-1815895.046,-1815886.169,-1815908.473,-1815886.904,-1815898.039,-1815890.305,-1815890.920,-1815889.768,-1815911.337,-1815895.067,-1815894.411
65,420.00,-1815898.026,-1815889.107,-1815911.409,-1815889.875,-1815900.914,-1815893.292,-1815893.870,-1815892.743,-1815914.315,-1815898.050,-1815897.387
66,425.00,-1815901.025,-1815892.065,-1815914.363,-1815892.864,-1815903.807,-1815896.298,-1815896.838,-1815895.736,-1815917.312,-1815901.053,-1815900.382
67,430.00,-1815904.043,-1815895.041,-1815917.335,-1815895.873,-1815906.719,-1815899.322,-1815899.825,-1815898.749,-1815920.328,-1815904.074,-1815903.397
68,435.00,-1815907.080,-1815898.036,-1815920.327,-1815898.900,-1815909.650,-1815902.366,-1815902.830,-1815901.780,-1815923.362,-1815907.114,-1815906.430
69,440.00,-1815910.136,-1815901.049,-1815923.337,-1815901.947,-1815912.600,-1815905.429,-1815905.855,-1815904.830,-1815926.416,-1815910.173,-1815909.482
70,445.00,-1815913.210,-1815904.082,-1815926.366,-1815905.012,-1815915.569,-1815908.510,-1815908.899,-1815907.899,-1815929.488,-1815913.251,-1815912.552
71,450.00,-1815916.304,-1815907.133,-1815929.414,-1815908.095,-1815918.556,-1815911.610,-1815911.961,-1815910.987,-1815932.579,-1815916.348,-1815915.642
72,455.00,-1815919.416,-1815910.204,-1815932.481,-1815911.198,-1815921.562,-1815914.729,-1815915.042,-1815914.094,-1815935.689,-1815919.463,-1815918.750
73,460.00,-1815922.547,-1815913.293,-1815935.566,-1815914.319,-1815924.587,-1815917.866,-1815918.142,-1815917.219,-1815938.817,-1815922.598,-1815921.877
74,465.00,-1815925.697,-1815916.400,-1815938.670,-1815917.459,-1815927.630,-1815921.023,-1815921.260,-1815920.363,-1815941.964,-1815925.750,-1815925.023
75,470.00,-1815928.865,-1815919.527,-1815941.792,-1815920.618,-1815930.692,-1815924.197,-1815924.397,-1815923.526,-1815945.130,-1815928.922,-1815928.188
76,475.00,-1815932.052,-1815922.672,-1815944.933,-1815923.795,-1815933.773,-1815927.391,-1815927.553,-1815926.707,-1815948.314,-1815932.112,-1815931.371
77,480.00,-1815935.257,-1815925.835,-1815948.092,-1815926.991,-1815936.872,-1815930.603,-1815930.728,-1815929.907,-1815951.517,-1815935.321,-1815934.572
78,485.00,-1815938.482,-1815929.017,-1815951.270,-1815930.206,-1815939.989,-1815933.834,-1815933.921,-1815933.126,-1815954.738,-1815938.548,-1815937.793
79,490.00,-1815941.724,-1815932.218,-1815954.467,-1815933.439,-1815943.126,-1815937.083,-1815937.132,-1815936.363,-1815957.978,-1815941.794,-1815941.031
80,495.00,-1815944.986,-1815935.437,-1815957.681,-1815936.690,-1815946.280,-1815940.351,-1815940.363,-1815939.618,-1815961.236,-1815945.058,-1815944.289
